Antonia	36
Antonija	5693
Antonija Alojzija	..
Antonija Ana	5
Antonija Marija	32
Antonija Zvonka	16
Antonina	18
Anuša	99
Anuška	143
Anya	..
Anzhela	10
Anželika	5
Apolonija	355
April	8
Arabela	14
Aranka	43
Arbenita	13
Arbnora	5
Arbnore	9
Ardiana	17
Ardijana	12
Ardita	30
Aria	31
Ariadna	7
Ariana	225
Ariane	6
Arianna	23
Ariela	18
Arifa	56
Arife	16
Arijana	109
Arijeta	13
Arina	15
Arja	14
Arjana	25
Arjeta	31
Arjete	5
Arlen	5
Arlena	5
Arlinda	39
Armanda	12
Armela	11
Armena	6
Armida	22
Armina	59
Arnela	81
Arnesa	18
Arta	51
Artina	6
Artiola	6
Arya	6
Arzija	10
Asha	5
Asia	21
Asifa	5
Asija	44
Asije	9
Asima	159
Asja	286
Asmira	87
Asta	29
Astra	5
Astrid	105
Astrida	7
Aša	17
Atena	10
Atidja	5
Atidža	..
Atifa	17
Atije	..
Atina	14
Augustina	5
Aulona	9
Aurela	12
Aurelia	10
Aurelija	14
Aurora	100
Ava	127
Ave	5
Avelina	5
Avgusta	61
Avgustina	12
Avguština	135
Avrelija	67
Ayla	20
Aylin	18
Aza	10
Azema	18
Azemina	59
Azemine	8
Azime	6
Azira	12
Aziza	16
Azize	13
Azra	441
Badema	11
Bahira	10
Bahra	15
Bahrija	38
Bahrije	15
Bahtija	..
Bahtije	6
Bajra	5
Bajrama	20
Bajrame	8
Bara	57
Barba	6
Barbara	9494
Barbara Katarina	..
Barbara Marija	..
Barbi	17
Barbika	30
Barbka	215
Barbra	16
Barica	169
Barije	9
Barka	..
Bea	18
Beata	24
Beatrice	20
Beatrika	6
Beatris	8
Beba	36
Bedrija	5
Bedrije	16
Bega	7
Begajeta	7
Begzada	14
Behara	8
Behare	13
Behija	41
Behrija	9
Beisa	22
Beja	5
Bejaza	6
Bejza	29
Bekira	25
Bela	20
Belinda	29
Belkisa	34
Bella	6
Belma	90
Belmina	9
Benedikta	23
Benita	15
Benja	20
Benjamina	35
Berina	27
Berna	6
Bernada	18
Bernadette	..
Bernadka	30
Bernarda	2957
Bernarda Marija	13
Bernarda Nada	11
Bernardica	29
Bernardika	33
Bernardina	45
Bernardka	768
Bernardka Marija	5
Bernatka	..
Berta	612
Berta Marija	8
Besa	19
Besarta	37
Besiana	5
Besima	73
Besime	9
Besjana	8
Beslinda	6
Besmire	9
Beti	229
Betina	26
Betka	203
Betti	7
Bettina	11
Betty	6
Bianca	39
Bianka	33
Biba	18
Bibiana	9
Bibijana	61
Bijanka	5
Biljana	649
Bilka	16
Bilyana	..
Bina	33
Binasa	7
Binca	..
Birgit	6
Bisera	41
Biserka	787
Bistra	13
Bjanka	10
Bjelica	5
Blaga	13
Blagica	46
Blagorodna	9
Blandina	5
Blanka	999
Blaška	15
Blaža	11
