Asmir	432
Astrit	39
Ašim	6
Atanas	31
Atanasko	-
Atif	52
Atila	14
Atilij	-
Atilio	-
Atko	-
Atnan	-
Atse	5
Atso	12
Attila	35
August	37
Augustin	33
Augusto	5
Auguštin	20
Aulon	6
Aurelio	6
Avdaga	5
Avdi	27
Avdija	27
Avdo	96
Avdul	-
Avdula	5
Avdulah	16
Avdulla	7
Avdullah	20
Avdyl	32
Avgust	794
Avgustin	22
Avguštin	469
Avmed	5
Avni	83
Avnija	-
Avrelij	11
Azem	84
Azer	8
Azim	13
Azis	-
Aziz	97
Azmir	14
Azrudin	7
Azur	21
Ažbe	513
Ayan	9
Aydin	9
Axel	5
Aylan	26
Ayman	6
Ađul	5
Bafti	11
Bahri	7
Bahrija	28
Bahrudin	38
Bahtir	-
Bajram	149
Bajro	134
Bajrush	12
Baki	18
Bakir	26
Baldomir	-
Bali	-
Baltazar	12
Balázs	8
Bane	10
Bardhyl	-
Bare	11
Bart	17
Bartol	7
Bartolomej	-
Bashkim	69
Basri	12
Bastian	54
Bastjan	8
Baškim	10
Bata	5
Bazilij	-
Beat	-
Bedri	35
Bedžet	-
Began	12
Bego	54
Behadin	-
Behar	33
Behlul	6
Behram	5
Behxhet	5
Bejadin	5
Bejtula	-
Bekim	136
Bekir	41
Bekri	-
Bela	82
Belmin	120
Ben	54
Benamin	5
Benedikt	68
Benet	6
Beni	9
Benito	8
Benjamin	2618
Beno	452
Berat	38
Berin	16
Berislav	26
Beriz	6
Bernad	6
Bernard	729
Bernardo	18
Bernd	-
Bernhard	-
Bert	51
Berti	9
Berto	28
Bertold	-
Berzat	5
Besar	14
Besart	39
Besfort	6
Besim	223
Besir	13
Besjan	12
Besmir	33
Besnik	91
Bešir	18
Betim	17
Bexhet	9
Bećir	61
Beqir	22
Bećo	13
Bian	19
Bilal	50
Binak	12
Bine	720
Bislim	10
Bjan	6
Bjorn	13
Blage	5
Blago	5
Blagoj	54
Blagoja	40
Blagojche	10
Blagojcho	9
Blagojče	-
Blagojčo	-
Blagoje	60
Blagomir	-
Blagoy	9
Blagoyche	6
Blaško	11
Blazhe	15
Blazho	13
Blaž	6982
Blažan	6
Blaže	16
Blaženko	11
Blažo	19
Bleard	6
Bleart	20
Bledar	11
Blenard	5
Blend	9
Blendi	15
Blerand	5
Blerim	83
Bleron	21
Blerton	12
Blin	6
Bljerim	-
Boban	185
Bobi	8
Bogdan	2179
Bogo	37
Bogoja	-
Bogoljub	79
Bogomil	144
Bogomir	1027
Bogomir Mirko	-
Bogosav	10
Bogoslav	29
Bogumil	-
Bohdan	8
Bojan	10213
Bojan Anton	-
Bojan Franc	-
Bojan Janez	-
Bojko	6
Boleslav	20
Bolfenk	5
Boltežar	9
Bono	22
Bor	1225
Bora	15
Boran	8
Borche	35
Borcho	7
Borče	15
Borčo	5
Bore	35
Boris	7879
Boris Andrej	5
Boris Franc	-
Boris Ivan	5
Boris Janez	5
Boris Jožef	7
Borisav	11
Borislav	382
Boriša	7
Borivoj	51
Borivoje	37
Borja	31
