Abi	6
Abibe	5
Abida	10
Abide	5
Ada	336
Ada Marija	-
Adalberta	9
Adea	18
Adeja	5
Adela	417
Adela Marija	-
Adelaida	6
Adelajda	11
Adele	14
Adelhajda	-
Adelheid	5
Adelija	12
Adelina	169
Adelisa	77
Adelita	11
Adelja	6
Adema	10
Adevija	12
Adica	8
Adila	46
Adile	13
Adina	21
Adisa	192
Admira	113
Adna	169
Adnana	29
Adolfa	7
Adolfina	21
Adriana	346
Adrianna	5
Adrijana	919
Advija	30
Advije	8
Aferdita	64
Aferdite	5
Afrdita	7
Afrodita	20
Afërdita	-
Aga	10
Agata	445
Age	-
Agica	61
Aglaja	7
Agna	5
Agnes	73
Agnesa	45
Agnese	6
Agneš	5
Agneta	-
Agneza	32
Ahmedina	10
Aicha	7
Aida	487
Aiken	8
Aila	6
Ailin	9
Aina	12
Aisa	-
Aisha	46
Aiša	109
Aja	133
Ajana	10
Ajda	2898
Ajda Ana	5
Ajdina	15
Ajete	8
Ajida	5
Ajiša	59
Ajiše	8
Ajka	82
Ajko	10
Ajla	500
Ajlin	50
Ajlina	15
Ajna	199
Ajnija	-
Ajra	18
Ajrija	5
Ajsela	10
Ajsha	10
Ajshe	38
Ajša	267
Ajše	8
Ajten	5
Ala	7
Alana	17
Alanis	6
Alanka	5
Alba	18
Albana	29
Albane	7
Alberina	7
Alberta	67
Albertina	8
Albesa	8
Albijona	6
Albina	1767
Albina Marija	11
Albina Zorka	-
Albinca	33
Albiona	22
Albulena	40
Alda	56
Aldiana	8
Aldijana	121
Aldina	115
Alea	53
Alegra	5
Aleja	16
Alejna	30
Aleks	6
Aleksa	6
Aleksandra	4146
Aleksandra Marija	6
Aleksandra Saša	24
Aleksandrija	5
Alekseja	55
Aleksia	9
Aleksija	23
Alema	19
Alemka	5
Alena	103
Alenčica	85
Alenka	7678
Alenka Helena	9
Alenka Marija	20
Alesia	12
Alessandra	19
Alessia	28
Aleša	180
Aleška	36
Alex	15
Alexa	6
Alexandra	87
Alexia	23
Alexis	5
Aleyna	11
Alia	10
Aliana	10
Alica	31
Alice	33
Alicia	8
Alicija	5
Aliče	11
Alida	59
Alija	41
Alijana	62
Alije	29
Alijja	6
Alin	47
Alina	1011
Alis	8
Alisa	324
Alisha	9
Alisia	5
Alison	28
Alissa	11
Ališa	20
Aliya	-
Alja	1919
Aljana	63
Aljaša	7
Aljonka	5
Aljoša	73
Aljoška	14
Alketa	7
Alla	39
Allegra	11
Allina	6
Alma	956
Alma Marija	-
Almaida	5
Almasa	13
Almaze	6
Almedina	109
Almina	74
Almira	351
Alojzija	3831
Alojzija Ana	6
Alojzija Frančiška	5
Alojzija Marija	12
Alojzija Slava	6
Alojzija Slavica	12
Alojzija Slavka	15
