Aaron	23
Abaz	32
Abdija	17
Abdo	5
Abdula	13
Abdulah	76
Abdullah	11
Abdurahman	15
Abdurrahman	9
Abedin	28
Abel	18
Abid	34
Abidin	7
Abit	5
Aca	15
Ace	8
Aco	68
Adalbert	28
Adam	562
Adan	7
Adel	112
Adem	293
Ademir	15
Adi	93
Adian	42
Adijan	20
Adil	117
Adin	136
Adis	421
Admin	7
Admir	501
Adnan	566
Adnel	7
Adnen	11
Ado	26
Adolf	812
Adonis	9
Adrian	273
Adriano	58
Adriatik	8
Adrijan	239
Adrijano	42
Advan	11
Ađul	-
Afet	7
Afrim	89
Agan	50
Agim	126
Ago	21
Agon	8
Agron	80
Ahac	32
Ahmed	75
Ahmedin	6
Ahmet	324
Ahmo	41
Aid	40
Aidan	10
Aidin	6
Ajan	34
Ajas	17
Ajdan	6
Ajdin	273
Ajet	32
Ajhan	8
Ajiz	13
Ajlan	7
Ajman	9
Ajnur	28
Aki	5
Akif	17
Akija	5
Akil	5
Al	15
Aladar	10
Aladin	68
Alaga	56
Alain	40
Alajdin	5
Alan	574
Alban	55
Albert	766
Alberto	27
Albian	-
Albijon	5
Albin	1763
Albino	9
Albion	36
Albrim	5
Aldijan	9
Aldin	260
Aldo	205
Ale	73
Alec	7
Alej	9
Alejandro	6
Alek	33
Aleks	1339
Aleksa	109
Aleksandar	1374
Aleksander	5511
Aleksander Sandi	6
Aleksander Saša	15
Aleksander Sašo	18
Aleksandr	24
Aleksandro	8
Aleksei	7
Aleksej	414
Aleksij	33
Aleksije	-
Alem	76
Alen	3817
Ales	-
Alessandro	53
Alessio	6
Aleš	10595
Alex	720
Alexandar	6
Alexander	203
Alexandr	11
Alexandru	8
Alexei	18
Alexej	7
Alexey	38
Alfio	-
Alfons	-
Alfonz	210
Alfred	199
Alfredo	8
Ali	207
Alija	227
Alil	6
Alim	9
Alin	21
Alis	35
Alit	7
Aljan	10
Aljaš	10
Aljaž	5012
Alji	5
Aljo	16
Aljoš	5
Aljoša	1798
Allan	5
Allen	18
Alli	8
Almaz	12
Almedin	65
Almer	5
Almin	117
Almir	594
Alois	11
Alojz	7861
Alojz Andrej	5
Alojz Franc	-
Alojz Ivan	6
Alojz Janez	-
Alojz Marjan	-
Alojz Slavko	22
Alojz Stanislav	5
Alojzij	3280
Alojzij Anton	7
Alojzij Franc	6
Alojzij Janez	-
Alojzij Slavko	17
Alojzij Stanislav	8
Alojzija	-
Alojzije	26
Altin	35
Alton	5
Alush	10
Aluš	-
Alvedin	10
Alvin	19
Alvir	6
Amadei	5
Amadej	597
Amadeo	11
Amadeus	6
Amal	8
Aman	8
Amar	258
Ambrož	388
Amdija	-
Amel	281
Amer	67
Amet	11
Amil	36
Amin	48
Amir	698
Amit	7
Ammar	70
Amon	12
Amor	5
Amos	6
Amrush	5
An	26
Anadin	6
Anai	8
Anaj	9
Anan	19
Anastazij	7
Anatoliy	9
Anatoly	5
Anche	6
Anče	-
Andi	92
Andjelko	37
Andon	-
Andor	8
Andraž	2907
Andre	14
André	6
Andrea	65
Andreas	94
Andrei	8
Andrej	17066
Andrej Franc	5
Andrej Ivan	-
Andrej Janez	10
Andrej Martin	7
Andrej Stanislav	5
Andreja	6
Andrejas	16
Andrejček	15
Andres	7
Andrew	6
Andrey	30
Andrija	230
Andrijan	8
Andriy	21
Andro	37
Andrzej	5
Andy	17
Anđelko	95
Anđelo	23
Anei	14
Anej	1745
Anel	323
Anes	160
Aney	6
Angel	152
Angelcho	9
Angelko	-
Angelo	35
Angjelko	-
Anid	13
Anil	6
Anis	82
Antal	8
Ante	212
Anthony	-
Anto	257
Anton	18772
Anton Alojz	7
Anton Alojzij	5
Anton Andrej	9
Anton Franc	16
Anton Ivan	9
Anton Janez	11
Anton Jože	-
Anton Jožef	11
Anton Marijan	10
Anton Marjan	11
Anton Marko	5
Anton Martin	16
Anton Mihael	5
Anton Milan	-
Anton Pavel	6
Anton Peter	6
Anton Stanislav	-
Anton Zvonimir	5
Anton Zvonko	24
Antoni	-
Antonije	6
Antonijo	24
Antonin	6
Antonino	-
Antonio	192
Antun	429
Anuar	5
Anže	5101
Anžej	99
Arafat	-
Arben	120
Arbenit	6
Arber	24
Arbnor	16
Ardi	11
Ardian	61
Ardijan	13
Ardit	48
Argjend	9
Argjent	14
Arian	91
Arianit	12
Ariel	5
Arif	198
Arijan	45
Arin	6
Arion	6
Aris	19
Arjan	26
Arjanit	9
Arlind	52
Arman	22
Armand	18
Armando	93
Armel	8
Armen	14
Armend	63
Arment	6
Armin	454
Armir	7
Arne	210
Arnej	13
Arnel	88
